Date,Open,High,Low,Close,Adj Close,Volume
2019-12-01,21.500000,21.666666,21.250000,21.458332,21.458332,122475
2019-12-02,21.333332,21.500000,21.333332,21.375000,21.375000,40124
2019-12-03,21.333332,21.458332,21.250000,21.333332,21.333332,50916
2019-12-04,21.250000,21.416666,21.250000,21.416666,21.416666,47167
2019-12-05,21.333332,21.500000,21.291666,21.291666,21.291666,26458
2019-12-08,21.500000,21.583332,21.291666,21.583332,21.583332,82608
2019-12-09,21.541666,21.541666,21.333332,21.416666,21.416666,90117
2019-12-10,21.333332,21.500000,21.166666,21.500000,21.500000,158809
2019-12-11,21.291666,21.666666,21.291666,21.416666,21.416666,74215
2019-12-12,21.416666,21.416666,21.250000,21.250000,21.250000,64143
2019-12-15,21.250000,21.333332,21.083332,21.333332,21.333332,70015
2019-12-16,21.500000,22.041666,21.458332,21.916666,21.916666,245798
2019-12-17,21.750000,21.750000,21.583332,21.583332,21.583332,105783
2019-12-18,21.625000,21.666666,21.541666,21.625000,21.625000,63550
2019-12-19,21.625000,21.625000,21.416666,21.625000,21.625000,205137
2019-12-22,21.666666,21.875000,21.666666,21.791666,21.791666,192574
2019-12-23,21.875000,22.416666,21.833332,22.250000,22.250000,408406
2019-12-24,22.041666,22.333332,22.000000,22.333332,22.333332,176670
2019-12-25,22.333332,22.666666,22.333332,22.500000,22.500000,287580
2019-12-26,22.500000,23.208332,22.250000,23.041666,23.041666,454426
2019-12-29,22.833332,23.583332,22.833332,23.333332,23.333332,554235
2019-12-30,23.250000,23.500000,23.000000,23.000000,23.000000,206388
2019-12-31,22.708332,23.041666,22.666666,23.000000,23.000000,131199
2020-01-01,23.000000,23.250000,22.833332,22.916666,22.916666,93996
2020-01-02,23.083332,23.250000,22.958332,23.166666,23.166666,133306
2020-01-05,22.916666,22.916666,22.500000,22.500000,22.500000,120478
2020-01-06,22.583332,22.583332,21.958332,22.458332,22.458332,228936
2020-01-07,22.500000,22.666666,22.291666,22.291666,22.291666,121942
2020-01-08,21.666666,22.166666,21.666666,21.958332,21.958332,128767
2020-01-09,22.583332,22.750000,22.083332,22.583332,22.583332,150844
2020-01-12,22.625000,22.791666,22.625000,22.750000,22.750000,111050
2020-01-13,22.791666,23.500000,22.708332,23.250000,23.250000,501297
2020-01-14,23.333332,23.666666,23.333332,23.416666,23.416666,268886
2020-01-15,23.416666,23.500000,22.875000,22.875000,22.875000,101390
2020-01-16,22.916666,23.250000,22.750000,23.125000,23.125000,84056
2020-01-19,23.333332,23.333332,23.000000,23.083332,23.083332,78289
2020-01-20,23.125000,23.125000,22.875000,22.958332,22.958332,155954
2020-01-21,23.041666,23.166666,22.958332,23.041666,23.041666,134031
2020-01-22,22.958332,23.041666,22.916666,22.958332,22.958332,71851
2020-01-23,22.958332,22.958332,22.708332,22.750000,22.750000,115125
2020-01-26,22.583332,22.916666,22.541666,22.708332,22.708332,115569
2020-01-27,22.708332,22.708332,22.541666,22.541666,22.541666,74220
2020-01-28,22.500000,22.583332,22.250000,22.500000,22.500000,78802
2020-01-29,22.375000,22.500000,22.333332,22.416666,22.416666,66343
2020-01-30,22.500000,22.625000,22.416666,22.458332,22.458332,98224
2020-02-02,22.333332,22.416666,22.208332,22.416666,22.416666,55579
2020-02-03,22.750000,23.458332,22.750000,23.208332,23.208332,687332
2020-02-04,23.166666,23.166666,22.750000,22.958332,22.958332,119338
2020-02-05,23.000000,23.541666,22.833332,23.458332,23.458332,340425
2020-02-06,23.583332,24.250000,23.000000,23.166666,23.166666,1235736
2020-02-09,23.166666,23.916666,22.833332,23.083332,23.083332,1039735
2020-02-10,23.166666,23.291666,22.916666,23.166666,23.166666,223948
2020-02-11,23.250000,23.250000,22.750000,22.750000,22.750000,108702
2020-02-12,22.750000,22.750000,22.333332,22.541666,22.541666,147098
2020-02-13,22.708332,22.708332,22.333332,22.333332,22.333332,208414
2020-02-16,22.333332,22.333332,22.333332,22.333332,22.333332,0
2020-02-17,22.500000,22.500000,22.125000,22.125000,22.125000,121953
2020-02-18,22.250000,22.583332,22.166666,22.250000,22.250000,337566
2020-02-19,22.333332,22.541666,22.125000,22.541666,22.541666,226819
2020-02-20,22.500000,22.875000,22.333332,22.666666,22.666666,604305
2020-02-23,22.666666,23.583332,22.666666,23.416666,23.416666,788782
2020-02-24,23.333332,23.333332,22.041666,22.041666,22.041666,706039
2020-02-25,22.208332,22.333332,21.875000,22.291666,22.291666,215589
2020-02-26,21.958332,22.250000,21.916666,22.166666,22.166666,148320
2020-02-27,22.166666,22.166666,22.166666,22.166666,22.166666,0
2020-03-01,20.666666,21.291666,20.133333,20.958332,20.958332,173587
2020-03-02,20.916666,21.500000,20.750000,20.750000,20.750000,322594
2020-03-03,21.041666,21.166666,20.750000,21.166666,21.166666,259172
2020-03-04,20.958332,21.916666,20.833332,21.666666,21.666666,410053
2020-03-05,21.875000,22.083332,21.500000,21.583332,21.583332,180165
2020-03-08,20.100000,20.799999,19.433332,19.433332,19.433332,282204
2020-03-09,17.500000,17.500000,17.500000,17.500000,17.500000,985320
2020-03-10,17.916666,18.716665,17.333332,18.583332,18.583332,852930
2020-03-11,18.583332,19.850000,18.000000,18.799999,18.799999,934308
2020-03-12,17.500000,18.750000,17.483334,18.683332,18.683332,168381
2020-03-15,19.166666,19.250000,18.166666,18.733334,18.733334,209373
2020-03-16,17.000000,18.750000,17.000000,17.350000,17.350000,313464
2020-03-17,18.250000,18.250000,17.350000,17.799999,17.799999,236822
2020-03-18,17.733334,17.950001,17.333332,17.333332,17.333332,655660
2020-03-19,17.333332,17.866667,17.166666,17.716665,17.716665,1338075
2020-03-22,17.633333,17.633333,17.250000,17.383333,17.383333,256518
2020-03-23,17.200001,17.483334,16.816666,17.333332,17.333332,194866
2020-03-24,17.500000,17.833332,17.450001,17.783333,17.783333,403501
2020-03-25,17.500000,17.950001,17.333332,17.500000,17.500000,1036916
2020-03-26,17.416666,17.700001,17.416666,17.666666,17.666666,160010
2020-03-29,17.633333,17.799999,17.633333,17.766666,17.766666,264481
2020-03-30,17.766666,17.799999,17.633333,17.666666,17.666666,290046
2020-03-31,17.783333,18.250000,17.783333,18.250000,18.250000,467047
2020-04-01,18.333332,18.583332,18.250000,18.483334,18.483334,326464
2020-04-02,18.533333,18.933332,18.500000,18.850000,18.850000,420194
2020-04-05,19.250000,19.750000,19.016666,19.400000,19.400000,459267
2020-04-06,19.366667,21.000000,19.350000,20.958332,20.958332,831979
2020-04-07,21.333332,22.166666,21.166666,22.041666,22.041666,944680
2020-04-08,22.541666,23.541666,22.541666,23.000000,23.000000,1664287
2020-04-09,23.083332,23.250000,22.083332,22.208332,22.208332,801200
2020-04-12,22.500000,23.125000,22.208332,22.750000,22.750000,791496
2020-04-13,23.125000,23.250000,22.541666,22.541666,22.541666,638994
2020-04-14,22.708332,23.083332,22.250000,23.083332,23.083332,478610
2020-04-15,23.250000,23.291666,22.750000,22.875000,22.875000,455943
2020-04-16,22.833332,24.500000,22.750000,23.416666,23.416666,1969275
2020-04-19,23.750000,24.166666,23.583332,24.000000,24.000000,793659
2020-04-20,23.916666,24.125000,23.500000,23.916666,23.916666,631959
2020-04-21,23.250000,23.916666,23.000000,23.416666,23.416666,672031
2020-04-22,23.208332,23.500000,23.041666,23.208332,23.208332,458965
2020-04-23,23.250000,23.583332,23.250000,23.416666,23.416666,306399
2020-04-26,23.750000,23.958332,23.500000,23.791666,23.791666,540928
2020-04-27,23.791666,24.166666,23.541666,23.916666,23.916666,394818
2020-04-28,23.750000,24.000000,23.625000,23.708332,23.708332,199142
2020-04-29,23.750000,24.750000,23.708332,24.250000,24.250000,1198548
2020-04-30,24.041666,24.958332,24.041666,24.500000,24.500000,1058955
2020-05-03,23.333332,23.458332,22.083332,22.083332,22.083332,668535
2020-05-04,21.250000,23.458332,20.916666,22.875000,22.875000,737936
2020-05-05,23.750000,23.750000,22.208332,22.500000,22.500000,882513
2020-05-06,23.500000,24.660000,22.879999,24.059999,24.059999,938672
2020-05-07,24.000000,24.200001,23.379999,23.580000,23.580000,464791
2020-05-10,23.600000,24.000000,23.020000,23.219999,23.219999,664016
2020-05-11,21.200001,23.959999,21.200001,23.620001,23.620001,1403934
2020-05-12,23.920000,24.740000,23.900000,24.180000,24.180000,2228819
2020-05-13,23.980000,24.139999,23.459999,23.700001,23.700001,950549
2020-05-14,23.700001,23.700001,23.219999,23.280001,23.280001,328752
2020-05-17,23.260000,23.620001,23.120001,23.200001,23.200001,744609
2020-05-18,23.299999,23.299999,23.040001,23.080000,23.080000,942916
2020-05-19,23.200001,23.240000,22.959999,22.959999,22.959999,881168
2020-05-20,22.959999,22.980000,22.780001,22.840000,22.840000,492188
2020-05-21,22.959999,22.959999,22.700001,22.719999,22.719999,713869
2020-05-31,23.299999,23.440001,22.840000,23.299999,23.299999,2745510
2020-06-01,23.360001,23.860001,23.219999,23.440001,23.440001,1946735
2020-06-02,23.600000,24.959999,23.520000,24.299999,24.299999,4050877
2020-06-03,24.320000,26.000000,24.200001,25.549999,25.549999,4280720
2020-06-04,25.400000,26.200001,25.350000,25.799999,25.799999,4395380
2020-06-07,26.000000,28.250000,25.850000,28.200001,28.200001,2567087
2020-06-08,28.150000,29.900000,27.799999,28.000000,28.000000,3907205
2020-06-09,28.000000,28.200001,27.400000,27.450001,27.450001,1211843
2020-06-10,27.450001,28.500000,27.450001,28.299999,28.299999,1521924
2020-06-11,28.000000,28.400000,27.850000,28.100000,28.100000,1161421
2020-06-14,27.900000,28.200001,27.700001,27.799999,27.799999,671266
2020-06-15,27.650000,27.700001,26.850000,27.000000,27.000000,989485
2020-06-16,27.500000,28.000000,27.299999,27.400000,27.400000,1202519
2020-06-17,27.500000,27.700001,27.299999,27.549999,27.549999,1020970
2020-06-18,27.750000,28.150000,27.250000,28.100000,28.100000,1863067
2020-06-21,28.299999,28.750000,27.850000,28.500000,28.500000,2689537
2020-06-22,28.549999,30.450001,28.500000,29.299999,29.299999,4296190
2020-06-23,29.450001,30.850000,29.000000,30.450001,30.450001,3098019
2020-06-24,30.500000,30.500000,28.400000,28.850000,28.850000,3857579
2020-06-25,28.799999,28.900000,27.799999,28.150000,28.150000,1600705
2020-06-28,28.200001,28.299999,27.799999,27.850000,27.850000,673189
2020-06-29,27.900000,28.549999,27.799999,28.100000,28.100000,1065028
2020-06-30,28.250000,28.250000,27.900000,27.950001,27.950001,585639
2020-07-01,27.900000,28.650000,27.900000,28.350000,28.350000,782363
2020-07-02,28.450001,28.650000,28.400000,28.450001,28.450001,303903
2020-07-05,28.650000,29.000000,28.650000,28.950001,28.950001,593255
2020-07-06,29.049999,29.400000,28.850000,29.049999,29.049999,732421
2020-07-07,29.150000,29.549999,29.100000,29.100000,29.100000,470106
2020-07-08,29.150000,29.700001,29.150000,29.350000,29.350000,568984
2020-07-09,29.500000,29.650000,29.400000,29.400000,29.400000,302702
2020-07-12,29.600000,29.850000,29.350000,29.400000,29.400000,563452
2020-07-13,29.450001,29.799999,29.450001,29.650000,29.650000,523238
2020-07-14,29.400000,30.450001,29.350000,29.950001,29.950001,1182394
2020-07-15,30.000000,30.600000,29.850000,30.500000,30.500000,708793
2020-07-16,30.500000,30.500000,30.100000,30.500000,30.500000,402050
2020-07-19,30.500000,30.500000,30.200001,30.500000,30.500000,393260
2020-07-20,30.150000,30.250000,29.100000,29.700001,29.700001,591157
2020-07-21,29.900000,30.350000,29.650000,30.200001,30.200001,316732
2020-07-22,30.500000,31.500000,30.450001,30.750000,30.750000,1406432
2020-07-23,30.799999,31.650000,30.750000,30.850000,30.850000,1197384
2020-07-26,30.850000,31.000000,30.450001,30.549999,30.549999,250891
2020-07-27,30.700001,30.700001,30.299999,30.549999,30.549999,115006
2020-07-28,30.200001,30.500000,30.000000,30.299999,30.299999,223908
2020-08-05,30.400000,31.100000,30.200001,30.750000,30.750000,354386
2020-08-06,30.750000,31.500000,30.500000,31.299999,31.299999,602269
2020-08-09,31.200001,31.600000,30.900000,31.000000,31.000000,1341630
2020-08-10,31.000000,31.250000,30.750000,30.799999,30.799999,629263
2020-08-11,30.900000,31.250000,30.850000,31.150000,31.150000,574549
2020-08-12,31.150000,31.500000,30.900000,31.350000,31.350000,700770
2020-08-13,31.350000,31.350000,31.350000,31.350000,31.350000,0
2020-08-16,31.400000,31.450001,31.150000,31.299999,31.299999,362594
2020-08-17,31.549999,31.650000,30.950001,31.350000,31.350000,609896
2020-08-18,31.350000,32.200001,31.100000,31.850000,31.850000,2026043
2020-08-19,31.900000,32.299999,31.299999,31.850000,31.850000,930804
2020-08-20,31.750000,32.750000,31.700001,32.299999,32.299999,1330346
2020-08-23,32.500000,32.500000,32.049999,32.400002,32.400002,373160
2020-08-24,32.299999,33.200001,32.299999,32.900002,32.900002,1125000
2020-08-25,33.200001,34.400002,32.000000,32.200001,32.200001,4138958
2020-08-26,32.200001,32.250000,31.750000,32.049999,32.049999,1566581
2020-08-27,32.099998,32.099998,31.750000,31.799999,31.799999,656718
2020-08-30,31.799999,31.799999,31.400000,31.700001,31.700001,755837
2020-08-31,31.750000,32.200001,31.750000,32.099998,32.099998,954220
2020-09-01,32.099998,32.900002,31.549999,31.700001,31.700001,2859491
2020-09-02,31.700001,31.900000,31.000000,31.400000,31.400000,857354
2020-09-03,31.450001,31.750000,31.299999,31.450001,31.450001,562596
2020-09-06,31.400000,31.750000,31.299999,31.500000,31.500000,529295
2020-09-07,31.450001,32.049999,31.450001,31.900000,31.900000,1163433
2020-09-08,32.000000,32.599998,31.650000,32.000000,32.000000,2303764
2020-09-09,31.900000,32.099998,31.450001,31.700001,31.700001,840291
2020-09-10,31.750000,32.450001,31.700001,31.900000,31.900000,1522194
2020-09-13,32.099998,34.099998,32.099998,33.799999,33.799999,5855578
2020-09-14,34.400002,34.450001,32.000000,33.599998,33.599998,4636303
2020-09-15,33.799999,33.849998,33.000000,33.150002,33.150002,1241851
2020-09-16,33.400002,33.400002,32.250000,32.349998,32.349998,918126
2020-09-17,32.200001,32.950001,31.799999,32.500000,32.500000,969473
2020-09-20,32.700001,33.500000,32.549999,33.000000,33.000000,1881966
2020-09-21,32.950001,33.000000,32.349998,32.549999,32.549999,722034
2020-09-22,32.200001,32.599998,32.099998,32.250000,32.250000,454351
2020-09-24,32.400002,32.400002,31.950001,32.200001,32.200001,444027
2020-09-27,32.250000,32.349998,32.099998,32.150002,32.150002,754320
2020-09-28,32.200001,32.299999,32.000000,32.000000,32.000000,958406
2020-09-29,32.049999,32.099998,31.799999,31.950001,31.950001,521023
2020-09-30,31.799999,32.200001,31.600000,32.049999,32.049999,512169
2020-10-01,32.150002,32.200001,31.799999,32.000000,32.000000,1005193
2020-10-04,32.000000,32.049999,31.400000,31.400000,31.400000,390216
2020-10-05,31.200001,31.650000,30.799999,31.650000,31.650000,435275
2020-10-06,31.799999,32.450001,31.450001,32.200001,32.200001,1508682
2020-10-07,32.200001,32.400002,31.850000,32.099998,32.099998,697061
2020-10-08,32.099998,32.349998,31.850000,31.950001,31.950001,395738
2020-10-11,32.000000,32.150002,31.900000,32.000000,32.000000,392400
2020-10-12,32.000000,32.549999,31.900000,32.099998,32.099998,1587443
2020-10-13,32.150002,32.349998,32.000000,32.049999,32.049999,777789
2020-10-14,32.049999,32.150002,31.850000,31.850000,31.850000,580701
2020-10-15,32.000000,32.099998,31.700001,31.799999,31.799999,512216
2020-10-18,32.049999,32.099998,31.799999,31.900000,31.900000,595733
2020-10-19,32.000000,32.000000,31.700001,31.700001,31.700001,764591
2020-10-20,31.500000,32.250000,31.299999,31.850000,31.850000,1101495
2020-10-21,32.099998,32.150002,31.700001,31.750000,31.750000,894833
2020-10-22,31.500000,31.850000,31.400000,31.500000,31.500000,399252
2020-10-25,31.450001,31.600000,28.400000,28.400000,28.400000,438334
2020-10-26,28.450001,29.799999,27.650000,28.850000,28.850000,477398
2020-10-27,28.900000,28.950001,28.350000,28.950001,28.950001,234510
2020-10-28,29.000000,29.600000,28.549999,28.750000,28.750000,412669
2020-10-29,28.150000,28.299999,27.650000,28.299999,28.299999,299032
2020-11-01,28.200001,28.350000,28.000000,28.150000,28.150000,116768
2020-11-02,28.150000,28.700001,28.150000,28.700001,28.700001,201778
2020-11-03,28.700001,28.850000,28.150000,28.400000,28.400000,219365
2020-11-04,28.500000,30.150000,28.450001,30.150000,30.150000,1227303
2020-11-05,30.000000,30.799999,29.000000,29.200001,29.200001,1433158
2020-11-08,28.850000,30.250000,28.850000,30.000000,30.000000,534472
2020-11-09,30.200001,30.900000,30.200001,30.700001,30.700001,975006
2020-11-10,31.000000,31.299999,30.000000,30.650000,30.650000,1088369
2020-11-11,30.000000,30.350000,29.850000,30.250000,30.250000,1122353
2020-11-12,30.250000,30.400000,29.900000,30.049999,30.049999,299293
2020-11-15,30.200001,31.000000,29.000000,30.900000,30.900000,713904
2020-11-16,30.950001,31.200001,30.400000,30.450001,30.450001,424199
2020-11-17,30.500000,30.700001,30.100000,30.250000,30.250000,265832
2020-11-18,30.150000,30.450001,30.049999,30.200001,30.200001,170457
2020-11-19,30.150000,31.100000,30.100000,30.299999,30.299999,1048197
2020-11-22,30.299999,30.450001,30.049999,30.049999,30.049999,285381
2020-11-23,30.049999,30.100000,29.900000,30.100000,30.100000,186824
2020-11-24,30.150000,30.350000,30.100000,30.250000,30.250000,289526
2020-11-25,30.299999,30.500000,30.100000,30.150000,30.150000,337753
2020-11-26,30.000000,30.049999,29.850000,30.000000,30.000000,305016
2020-11-29,30.100000,30.500000,30.000000,30.250000,30.250000,517689
2020-11-30,30.350000,31.700001,30.100000,31.200001,31.200001,2670397
2020-12-01,31.150000,31.500000,30.799999,31.150000,31.150000,1127063
2020-12-02,31.250000,31.400000,30.850000,31.000000,31.000000,432644
2020-12-03,30.950001,31.049999,30.600000,30.650000,30.650000,322268
2020-12-06,30.750000,30.799999,29.900000,29.900000,29.900000,293746
2020-12-07,29.850000,30.150000,29.500000,30.100000,30.100000,572167
2020-12-08,30.049999,30.049999,29.500000,29.750000,29.750000,672404
2020-12-09,29.750000,29.850000,29.600000,29.650000,29.650000,146338
2020-12-10,29.650000,29.700001,29.549999,29.700001,29.700001,295961
2020-12-13,29.799999,29.900000,29.299999,29.450001,29.450001,293465
2020-12-14,29.500000,29.500000,29.299999,29.450001,29.450001,164451
2020-12-15,29.299999,29.700001,29.049999,29.400000,29.400000,279929
2020-12-16,29.600000,29.600000,29.000000,29.450001,29.450001,247957
2020-12-17,29.350000,29.549999,29.350000,29.350000,29.350000,169027
2020-12-20,29.450001,29.450001,29.000000,29.049999,29.049999,213644
2020-12-21,29.000000,29.000000,27.650000,28.600000,28.600000,542608
2020-12-22,28.500000,29.200001,28.500000,28.900000,28.900000,425303
2020-12-23,29.200001,29.400000,29.000000,29.200001,29.200001,256539
2020-12-24,29.299999,29.750000,29.200001,29.250000,29.250000,339716
2020-12-27,29.450001,29.500000,29.100000,29.100000,29.100000,272227
2020-12-28,29.100000,29.400000,29.049999,29.400000,29.400000,229814
2020-12-29,29.400000,29.650000,29.200001,29.450001,29.450001,312005
2020-12-30,29.450001,31.650000,29.400000,30.600000,30.600000,5568129
2020-12-31,30.650000,30.799999,29.799999,29.799999,29.799999,1698699
2021-01-03,29.799999,30.100000,29.049999,29.150000,29.150000,771729
2021-01-04,29.350000,29.500000,29.150000,29.500000,29.500000,208235
2021-01-05,30.000000,30.700001,29.500000,29.549999,29.549999,1235144
2021-01-06,29.700001,30.000000,29.600000,29.600000,29.600000,210305
2021-01-07,29.850000,29.850000,29.250000,29.500000,29.500000,184815
2021-01-10,29.900000,30.100000,29.650000,29.700001,29.700001,353414
2021-01-11,29.700001,30.000000,29.549999,29.950001,29.950001,355654
2021-01-12,29.900000,29.900000,29.350000,29.500000,29.500000,442678
2021-01-13,29.900000,30.350000,29.799999,30.000000,30.000000,708469
2021-01-14,30.000000,30.299999,29.750000,30.000000,30.000000,610748
2021-01-17,30.000000,30.049999,29.600000,29.650000,29.650000,274621
2021-01-18,29.600000,29.950001,29.200001,29.299999,29.299999,476760
2021-01-19,29.450001,29.500000,29.150000,29.299999,29.299999,350756
2021-01-20,29.350000,29.350000,29.100000,29.150000,29.150000,244034
2021-01-21,29.200001,29.700001,29.100000,29.400000,29.400000,513401
2021-01-24,29.200001,29.450001,29.100000,29.200001,29.200001,241352
2021-01-25,29.299999,29.299999,29.049999,29.200001,29.200001,266328
2021-01-26,29.100000,29.100000,28.850000,29.000000,29.000000,186908
2021-01-27,29.049999,29.100000,28.799999,28.799999,28.799999,258220
2021-01-28,28.750000,29.000000,28.600000,28.850000,28.850000,158343
2021-01-31,28.799999,28.799999,28.400000,28.400000,28.400000,364693
2021-02-01,28.250000,28.350000,28.100000,28.100000,28.100000,250467
2021-02-02,28.100000,28.150000,27.650000,27.900000,27.900000,284457
2021-02-03,27.750000,27.799999,27.049999,27.100000,27.100000,389955
2021-02-04,26.900000,27.900000,26.350000,27.350000,27.350000,913071
2021-02-07,27.500000,28.200001,27.500000,28.100000,28.100000,476238
2021-02-08,28.299999,29.200001,28.150000,28.950001,28.950001,957749
2021-02-09,29.250000,30.250000,28.850000,29.950001,29.950001,2624114
2021-02-10,30.299999,31.500000,30.000000,30.900000,30.900000,5647672
